# Functions found by Ghidra auto-analysis
# Address | Size | Name | Signature
#---
0x008E60 |   1832 | FUN_00008e60 | undefined8 FUN_00008e60(byte * param_1, ulonglong param_2, longlong * param_3, ulonglong * param_4)
0x009588 |   2144 | FUN_00009588 | undefined FUN_00009588(undefined8 * param_1, undefined8 * param_2)
0x009DE8 |    168 | FUN_00009de8 | char * FUN_00009de8(uint param_1)
0x00A4D0 |    400 | FUN_0000a4d0 | undefined8 FUN_0000a4d0(char * param_1, longlong param_2)
0x00B148 |    232 | FUN_0000b148 | uint * FUN_0000b148(undefined8 param_1)
0x00B230 |     92 | FUN_0000b230 | undefined FUN_0000b230(longlong param_1)
0x00B28C |    856 | FUN_0000b28c | undefined8 FUN_0000b28c(ulonglong * param_1, longlong * param_2)
0x00B5E4 |     80 | FUN_0000b5e4 | undefined * FUN_0000b5e4(uint param_1)
0x00B634 |    216 | FUN_0000b634 | undefined8 FUN_0000b634(undefined8 * param_1, uint * param_2)
0x00B70C |    420 | FUN_0000b70c | bool FUN_0000b70c(ulonglong * param_1, undefined1 * param_2)
0x00B8B0 |   1176 | FUN_0000b8b0 | undefined8 FUN_0000b8b0(byte * param_1, ulonglong param_2, undefined * param_3, undefined8 param_4)
0x00BD48 |    244 | FUN_0000bd48 | uint * FUN_0000bd48(byte * param_1, ulonglong param_2, longlong * param_3)
0x00BED0 |    840 | FUN_0000bed0 | undefined8 FUN_0000bed0(undefined8 * param_1, byte * param_2)
0x00C218 |    944 | FUN_0000c218 | undefined8 FUN_0000c218(ulonglong * param_1, longlong * param_2)
0x00C5C8 |    612 | FUN_0000c5c8 | undefined8 FUN_0000c5c8(ulonglong * param_1, longlong * param_2)
0x00C82C |    476 | FUN_0000c82c | uint * FUN_0000c82c(undefined8 * param_1, longlong param_2)
0x00CA08 |     56 | FUN_0000ca08 | undefined FUN_0000ca08(void)
0x00CA40 |   1172 | FUN_0000ca40 | undefined4 FUN_0000ca40(undefined8 * param_1, longlong param_2, undefined8 * param_3, ulonglong param_4, byte * param_5, longlong param_6, byte * param_7, longlong param_8)
0x00CED4 |    276 | FUN_0000ced4 | undefined FUN_0000ced4(uint * param_1, uint * param_2, longlong param_3, uint * param_4)
0x00CFE8 |    112 | FUN_0000cfe8 | undefined FUN_0000cfe8(uint * param_1, longlong param_2)
0x00D058 |    100 | FUN_0000d058 | undefined FUN_0000d058(undefined8 * param_1)
0x00D0BC |    236 | FUN_0000d0bc | undefined FUN_0000d0bc(ulonglong * param_1, undefined8 * param_2, uint param_3)
0x00D1A8 |    556 | FUN_0000d1a8 | undefined FUN_0000d1a8(ulonglong * param_1, longlong param_2, int param_3)
0x00D3D4 |    292 | FUN_0000d3d4 | ulonglong * FUN_0000d3d4(ulonglong * param_1)
0x00D4F8 |     76 | FUN_0000d4f8 | undefined FUN_0000d4f8(undefined1 * param_1, undefined1 param_2, int param_3)
0x00D544 |    120 | FUN_0000d544 | undefined8 FUN_0000d544(undefined4 param_1, longlong param_2)
0x00D5BC |     68 | FUN_0000d5bc | undefined FUN_0000d5bc(longlong param_1)
0x00D600 |    260 | FUN_0000d600 | undefined FUN_0000d600(undefined8 param_1, longlong param_2)
0x00D704 |     96 | FUN_0000d704 | undefined8 FUN_0000d704(undefined8 param_1, undefined8 param_2)
0x00D764 |     68 | FUN_0000d764 | undefined FUN_0000d764(undefined8 param_1)
