# Data section pointers to code (.text)
# DataAddr | TargetAddr | TargetFunction
#---
0x098178 | 0x07ADBB | (none)
0x098180 | 0x071710 | (none)
0x098188 | 0x07AC50 | (none)
0x098190 | 0x07239B | (none)
0x0981A0 | 0x07AC3D | (none)
0x0981A8 | 0x07ADC5 | (none)
0x0981B0 | 0x071710 | (none)
0x0981B8 | 0x07AC50 | (none)
0x0981C0 | 0x07239B | (none)
0x0981D0 | 0x07AC3D | (none)
0x0981D8 | 0x07ADCF | (none)
0x0981E0 | 0x071710 | (none)
0x0981E8 | 0x07AC50 | (none)
0x0981F0 | 0x07239B | (none)
0x098200 | 0x07AC3D | (none)
0x098208 | 0x07ADDE | (none)
0x098210 | 0x071710 | (none)
0x098218 | 0x07AC50 | (none)
0x098220 | 0x07239B | (none)
0x098230 | 0x07AC3D | (none)
0x098238 | 0x07ADED | (none)
0x098240 | 0x071710 | (none)
0x098248 | 0x07AC50 | (none)
0x098250 | 0x07239B | (none)
0x098260 | 0x07AC3D | (none)
0x098268 | 0x07ADF6 | (none)
0x098270 | 0x071710 | (none)
0x098278 | 0x07AC50 | (none)
0x098280 | 0x07239B | (none)
0x098290 | 0x07AC3D | (none)
0x098298 | 0x07AE00 | (none)
0x0982A0 | 0x071710 | (none)
0x0982A8 | 0x07AC50 | (none)
0x0982B0 | 0x07239B | (none)
0x0982C0 | 0x07AC3D | (none)
0x0982C8 | 0x07AE0A | (none)
0x0982D0 | 0x071710 | (none)
0x0982D8 | 0x07AC50 | (none)
0x0982E0 | 0x07239B | (none)
0x0982F0 | 0x07AC3D | (none)
0x0982F8 | 0x07AE17 | (none)
0x098300 | 0x071710 | (none)
0x098308 | 0x07AC50 | (none)
0x098310 | 0x07239B | (none)
0x098320 | 0x07AC3D | (none)
0x098328 | 0x07AE24 | (none)
0x098330 | 0x071710 | (none)
0x098338 | 0x07AC50 | (none)
0x098340 | 0x07239B | (none)
0x098350 | 0x07AC3D | (none)
0x098358 | 0x07AE37 | (none)
0x098360 | 0x071710 | (none)
0x098368 | 0x07AC50 | (none)
0x098370 | 0x07239B | (none)
0x098380 | 0x07AC3D | (none)
0x098388 | 0x07AE4A | (none)
0x098390 | 0x071710 | (none)
0x098398 | 0x07AC50 | (none)
0x0983A0 | 0x07239B | (none)
0x0983B0 | 0x07AC3D | (none)
0x0983B8 | 0x07AE57 | (none)
0x0983C0 | 0x071710 | (none)
0x0983C8 | 0x07AC50 | (none)
0x0983D0 | 0x07239B | (none)
0x0983E0 | 0x07AC3D | (none)
0x0983E8 | 0x07AE64 | (none)
0x0983F0 | 0x071710 | (none)
0x0983F8 | 0x07AC50 | (none)
0x098400 | 0x07239B | (none)
0x098410 | 0x07AC3D | (none)
0x098418 | 0x07AE6C | (none)
0x098420 | 0x071710 | (none)
0x098428 | 0x07AC50 | (none)
0x098430 | 0x07239B | (none)
0x098440 | 0x07AC3D | (none)
0x098448 | 0x07AE76 | (none)
0x098450 | 0x071710 | (none)
0x098458 | 0x07AC50 | (none)
0x098460 | 0x07239B | (none)
0x098470 | 0x07AC3D | (none)
0x098478 | 0x07AE7F | (none)
0x098480 | 0x071710 | (none)
0x098488 | 0x07AC50 | (none)
0x098490 | 0x07239B | (none)
0x0984A0 | 0x07AC3D | (none)
0x0984A8 | 0x07AE8D | (none)
0x0984B0 | 0x071710 | (none)
0x0984B8 | 0x07AC50 | (none)
0x0984C0 | 0x07239B | (none)
0x0984D0 | 0x07AC3D | (none)
0x0984D8 | 0x07AE97 | (none)
0x0984E0 | 0x071710 | (none)
0x0984E8 | 0x07AC50 | (none)
0x0984F0 | 0x07239B | (none)
0x098500 | 0x07AC3D | (none)
0x098508 | 0x07AEA1 | (none)
0x098510 | 0x071710 | (none)
0x098518 | 0x07AC50 | (none)
0x098520 | 0x07239B | (none)
0x098530 | 0x07AC3D | (none)
0x098538 | 0x07AEAB | (none)
0x098540 | 0x071710 | (none)
0x098548 | 0x07AC50 | (none)
0x098550 | 0x07239B | (none)
0x098560 | 0x07AC3D | (none)
0x098568 | 0x07AEB5 | (none)
0x098570 | 0x071710 | (none)
0x098578 | 0x07AC50 | (none)
0x098580 | 0x07239B | (none)
0x098590 | 0x07AC3D | (none)
0x098598 | 0x07AEC0 | (none)
0x0985A0 | 0x071710 | (none)
0x0985A8 | 0x07AC50 | (none)
0x0985B0 | 0x07239B | (none)
0x0985C0 | 0x07AC3D | (none)
0x0985C8 | 0x07AECE | (none)
0x0985D0 | 0x071710 | (none)
0x0985D8 | 0x07AC50 | (none)
0x0985E0 | 0x07239B | (none)
0x0985F0 | 0x07AC3D | (none)
0x0985F8 | 0x07AEE0 | (none)
0x098600 | 0x071710 | (none)
0x098608 | 0x07AC50 | (none)
0x098610 | 0x07239B | (none)
0x098620 | 0x07AC3D | (none)
0x098628 | 0x07AEF4 | (none)
0x098630 | 0x071710 | (none)
0x098638 | 0x07AC50 | (none)
0x098640 | 0x07239B | (none)
0x098650 | 0x07AC3D | (none)
0x098658 | 0x07AF08 | (none)
0x098660 | 0x071710 | (none)
0x098668 | 0x07AC50 | (none)
0x098670 | 0x07239B | (none)
0x098680 | 0x07AC3D | (none)
0x098688 | 0x07AF1B | (none)
0x098690 | 0x071710 | (none)
0x098698 | 0x07AC50 | (none)
0x0986A0 | 0x07239B | (none)
0x0986B0 | 0x07AC3D | (none)
0x0986B8 | 0x07AF2E | (none)
0x0986C0 | 0x071710 | (none)
0x0986C8 | 0x07AC50 | (none)
0x0986D0 | 0x07239B | (none)
